evaluations raw_y
1 124055.4320574910
7 94420.9545231017
18 38315.6663237974
22 31670.3826155022
23 28056.7877598032
27 25425.4337633054
31 3388.0896093492
61 2431.2415221928
78 1191.8106631959
101 3411.6636972458
evaluations raw_y
1 109776.2181935057
8 72097.6995532611
17 66775.1395225470
21 42108.9455615111
22 18082.3494374574
32 3185.7219612257
34 2646.8970376620
41 1617.7468964724
50 620.2672615820
101 32437.4335375736
evaluations raw_y
1 226335.3914018924
3 120969.3551782156
4 79382.4102941414
5 74514.3869092444
15 53473.9778558645
21 35149.9961604709
24 4268.5207953514
31 4225.7236681139
41 3507.6274030019
48 2767.9083038187
56 2715.6115819137
83 2198.1595988083
101 3811.4848672366
evaluations raw_y
1 149708.2771776821
4 88664.5112954038
13 56620.7726639497
24 55572.7577169054
26 26572.0769393550
35 24809.5398778026
37 12638.4313719415
45 10462.1018949051
53 8977.0649443109
61 8802.1780141631
63 7611.0603059016
64 6762.0988972364
81 3502.2292836045
83 2019.5830798351
101 8770.5961673724
evaluations raw_y
1 181251.0534884972
2 173676.6753005618
8 35833.4795167789
20 10817.3052834510
24 3571.4247621439
32 2226.4890707606
34 1766.6002010494
35 995.5742577266
39 961.8848217538
53 466.0249256545
67 236.6107737642
101 10476.8896505582
