evaluations raw_y
1 4612.8780620058
2 3012.5417850991
10 2924.2777949539
17 1943.7793754769
26 1777.9223862686
28 1740.6178271979
32 1512.5687280224
35 1494.2910557995
40 1275.5662120406
41 1253.9228809682
43 1150.4101792926
54 1075.2710546949
60 1060.5605231481
68 1051.0882580925
73 910.9690727180
89 843.7260677941
102 827.2300166827
106 819.6961403139
111 732.9769985481
125 720.5934789291
131 661.1126033709
132 621.3844126390
155 615.0384524058
167 613.9278852382
172 593.8644374701
215 584.1094338191
226 582.4481989210
228 579.1555181338
234 518.9007593292
276 509.1721315532
283 471.1032309005
347 457.6071496787
