evaluations raw_y
1 160400.9612005193
3 152082.4901989461
7 122948.1091505798
9 15172.6771288832
41 12792.8897435031
42 4841.2343962449
43 4688.7630653716
45 2275.4873774487
98 453.4015168024
100 11975.5843639630
evaluations raw_y
1 489187.0352299173
2 192405.5426766037
4 69072.5224929704
13 69028.5022641534
16 12754.2833466554
38 4349.1872510182
56 702.0601158141
100 3467.1183640319
evaluations raw_y
1 506818.6327150688
2 131274.5379480451
3 63710.2261738711
26 52720.8724789953
36 38569.0900117126
37 35910.4164918199
38 26843.0022118839
42 24004.8408361805
46 13693.5007150759
47 7180.7523702328
48 4373.4965188890
54 4120.9724640660
62 825.0066915441
79 743.8075323849
100 44617.0862225900
evaluations raw_y
1 46298.5798551793
29 44641.4839253690
40 5860.0817545292
64 3948.1193709097
65 3723.8151731757
87 2990.2214110447
100 2867.2864608849
evaluations raw_y
1 890365.8177661590
2 68774.3554533865
27 56521.0976177072
30 17992.9937010050
39 6778.6299962755
61 1966.7400080985
100 62734.4646329570
