evaluations raw_y
1 679.8237790031
2 555.0062409396
3 542.1966412769
4 371.8770621207
15 370.6290553481
18 367.0695269106
21 262.3875400598
22 205.6913227451
63 162.5585110098
72 139.5782672870
81 134.1752979820
83 127.0252801567
101 88.4371546696
109 76.3161929891
117 75.9437258111
119 63.4159484152
120 53.1184696841
124 49.3340562426
127 27.6378355231
131 23.6872508399
133 22.7371344664
134 20.8455354810
139 19.1803513286
140 18.6599075610
141 17.8865420651
144 17.0087724342
145 10.3385314236
148 7.6754532779
150 7.3782632197
151 5.5394978165
164 2.9939309783
170 1.9086691723
178 0.6835993874
192 0.5925759146
223 0.4364856613
240 0.3756601942
263 0.2747886784
285 0.1505969422
339 0.1217542901
387 0.1096384471
400 35.3235026941
evaluations raw_y
1 577.4781073795
2 453.6259912220
3 422.3416434788
23 400.2878539976
24 302.1520645385
31 281.4624088508
33 270.9495885351
54 242.6829654533
78 215.4702197736
79 192.4667216206
80 179.8656705221
86 167.3700829500
93 165.2659129275
95 143.8720828630
102 121.5360790251
112 101.4673240216
116 68.2314054752
118 57.1154429359
122 34.9735033328
125 34.5416733393
129 28.3215540795
131 26.7880863671
132 24.1966200372
134 21.6521853180
136 19.6331225735
138 18.7324223933
141 14.0712920400
147 10.4058138245
149 10.3453694894
152 8.9215424800
155 6.9548997525
156 3.0928889437
161 2.1528664025
176 1.5958371567
185 0.9105445629
193 0.8936469629
201 0.7846443097
223 0.7685728230
224 0.6793981200
233 0.5561430176
243 0.5115911011
247 0.4860855027
254 0.3387548516
268 0.2299650892
313 0.1786177124
338 0.1492400302
400 0.2895573920
evaluations raw_y
1 627.7944431162
3 493.0322794231
4 371.2760477130
9 352.6562643651
21 200.9505097547
23 194.2792709683
34 180.9986761856
42 176.9157403701
68 164.3598193598
70 160.2593337955
79 143.8719342257
96 122.3792397019
102 116.1531683154
109 107.6301203118
112 97.2504528614
114 74.5318316911
116 22.4105622275
127 16.8458546255
131 15.0840321755
132 9.2695084662
137 5.2944974675
141 4.6274304111
145 3.5961792802
156 1.0979357625
182 1.0960965448
194 0.8580304416
207 0.6406262416
216 0.4999446127
245 0.3848044929
256 0.3845096480
268 0.2631888838
277 0.1862014830
347 0.1433335196
361 0.1380661830
400 0.1241604361
