evaluations raw_y
1 85.1280601130
23 83.6850064703
29 82.5885941405
30 81.4539055214
31 80.7539148034
32 80.3230870957
33 80.2345430456
36 79.3274331634
37 79.1435933314
41 77.8470226190
48 77.2452066561
57 77.1146685137
63 75.9527013019
66 75.2027597267
71 74.9399881338
74 73.9532439014
78 73.3070959109
82 72.8265507570
87 72.0940470389
93 71.1163008383
105 69.8761366106
108 67.4194706483
110 67.3007176394
113 67.2890389446
114 65.4386138050
130 63.4826049957
133 61.7540643838
135 58.3067133323
140 58.0703602110
143 56.7500730644
144 49.4574921758
149 48.4434643244
162 47.5403661761
171 46.5418367590
172 45.1798149324
200 44.3329856823
206 39.4641636652
213 38.2569990010
221 32.0850777578
225 30.4337155299
227 30.3377724790
231 27.8649484541
233 26.5680209371
240 25.2781630948
243 23.2691225366
251 22.6941507925
254 20.9943057657
261 20.3914192315
264 19.4595123812
270 18.6048713190
273 18.2158124252
281 17.9110577698
282 16.3596359905
288 14.9324824960
291 14.8735544517
295 14.4222420902
297 14.2822605403
298 14.2717442621
300 14.1383178460
301 13.9995966277
302 11.8489151136
304 11.4960583523
306 11.0393605976
312 10.9635549985
313 10.8841796978
314 10.8094709079
319 10.3494616269
324 10.2796066894
329 10.1676781910
340 10.0418628977
344 10.0380026742
349 9.7222359317
