evaluations raw_y
1 75533257.0444924533
9 58940434.5147877485
101 109602222.7831278592
evaluations raw_y
1 131476331.5801568627
4 112770818.7229630202
11 109722160.7726898342
13 39929424.1601174921
101 278917250.1241887808
evaluations raw_y
1 250950999.2977085114
4 24982455.5964984447
101 206822523.4591303170
evaluations raw_y
1 228110303.7087239027
2 134685193.7353018820
7 133382403.2564178854
10 117956206.0845753402
11 91910190.7026747167
18 82415367.3499450386
20 61052783.1501145735
101 3216341397.9732351303
evaluations raw_y
1 140993398.7139168978
5 122059990.8830504864
13 105798427.2399153411
15 100866768.5726528317
21 30999998.7267530635
27 27753567.1885319725
28 22641636.5238236450
67 11719943.7945715599
101 109092641.6514114290
